ID,city,district,location,organizer,serial_number,course_name,category,teacher,start_date,end_date,classtime,classroom,charge,intro,figure,signup,relate_website
kh_lc二胡進階班(鳳山)2016-04-22,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022884,二胡進階班(鳳山),樂器音樂,俞雪琴,2016-04-22,2016-06-24,每周五 下午0130~0330,鳳山文化館201教室,優惠身份: 1400元     一般民眾: 1500元,"二胡是一樣非常優美、有趣，又饒富內涵的樂器，她的聲音能夠輕易地打動人心，極富親和力。本班教學內容將以二胡的「基本姿勢養成」為主，並以「各地民謠、童謠，以及國台語老歌、國台語流行歌曲」為練習教材，按部就班打好二胡基礎，輕鬆學會看譜、打拍子，達到培養興趣、增加生活樂趣為目的",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4G%adJ%b6i%b6%a5%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2619/二胡進階班.doc
kh_lc二胡入門B班(鳳山)2016-04-22,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022886,二胡入門B班(鳳山),樂器音樂,俞雪琴,2016-04-22,2016-06-24,每周五 下午0330~0530,鳳山文化館201教室,優惠身份: 1400元     一般民眾: 1500元,"二胡是一樣非常優美、有趣，又饒富內涵的樂器，她的聲音能夠輕易地打動人心，極富親和力。本班教學內容將以二胡的「基本姿勢養成」為主，並以「各地民謠、童謠，以及國台語老歌、國台語流行歌曲」為練習教材，按步就班打好二胡基礎，輕鬆學會看譜、打拍子，達到培養興趣、增加生活樂趣為目的。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a4G%adJ%a4J%aa%f9B%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2620/二胡入門班B班鳳山.doc
kh_lc兒童3C3Q生活科技班(獅甲)2016-04-23,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022902,兒童3C3Q生活科技班(獅甲),健康養生,林靜淑,2016-04-23,2016-06-25,每周六 早上0830~1000,獅甲會館408教室,優惠身份: 1200元     一般民眾: 1300元,"生活科技系統重功能操作，操作過程中讓孩子能了解應用於生活中的電學、動力及物理原理，知道平衡概念、齒輪、電路、槓桿原理、滑輪、輪軸、連桿……等機械力學單元。教材：Knex教具組、Lasy教具組、發條、馬達、滑輪、齒輪組…等。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a8%e0%b5%a33C3Q%a5%cd%ac%a1%ac%ec%a7%de%afZ(%b7%e0%a5%d2),http://college.kcg.gov.tw/class_file/1/2470/88-21-林靜淑-3C3Q生活科技班(獅甲)-902.doc
kh_lc兒童3C3Q創思班(獅甲)2016-04-23,高雄市,前鎮區,高雄市前鎮區中山三路132號,獅甲會館,022904,兒童3C3Q創思班(獅甲),科學實驗,林靜淑,2016-04-23,2016-06-25,每周六 早上1010~1140,獅甲會館408教室,優惠身份: 1100元     一般民眾: 1200元,"教材使用來自歐洲各國知名的教具（Knex教具組、Lasy教具組…等）。及享譽全球已有百年歷史的公司所生產的局戲，以仿社會行為的遊戲，教導孩子與他人互助、合群、溝通表達及提高耐心、自信、獨立並增強挫折忍受度…EQ（情緒商數）的培養與提昇。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a8%e0%b5%a33C3Q%b3%d0%ab%e4%afZ(%b7%e0%a5%d2),http://college.kcg.gov.tw/class_file/1/2471/89-21-林靜淑-3CQ創思班(獅甲)-904.doc
kh_lc兒童3C3Q生活科技班(鳳山)2016-04-23,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022906,兒童3C3Q生活科技班(鳳山),健康養生,林靜淑,2016-04-23,2016-06-25,每周六 下午0200~0330,鳳山文化館101教室,優惠身份: 1200元     一般民眾: 1300元,"生活科技系統重功能操作，操作過程中讓孩子能了解應用於生活中的電學、動力及物理原理，知道平衡概念、齒輪、電路、槓桿原理、滑輪、輪軸、連桿……等機械力學單元。教材：Knex教具組、Lasy教具組、發條、馬達、滑輪、齒輪組…等。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a8%e0%b5%a33C3Q%a5%cd%ac%a1%ac%ec%a7%de%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2520/104-22期-林靜淑-3c3q科技班(鳳山)-906.doc
kh_lc兒童3C3Q創思班(鳳山)2016-04-23,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022908,兒童3C3Q創思班(鳳山),科學實驗,林靜淑,2016-04-23,2016-06-25,每周六 下午0340~0510,鳳山文化館101教室,優惠身份: 1100元     一般民眾: 1200元,"教材使用來自歐洲各國知名的教具（Knex教具組、Lasy教具組…等）。及享譽全球已有百年歷史的公司所生產的局戲，以仿社會行為的遊戲，教導孩子與他人互助、合群、溝通表達及提高耐心、自信、獨立並增強挫折忍受度…EQ（情緒商數）的培養與提昇。",,http://college.kcg.gov.tw/class_info.asp?C_name=%a8%e0%b5%a33C3Q%b3%d0%ab%e4%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2519/105-22期-林靜淑-3c3q創思班(鳳山)-908.doc
kh_lc作文班(鳳山)【國小3~6年級】2016-04-23,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022912,作文班(鳳山)【國小3~6年級】,興趣才藝,蕭愛慈,2016-04-23,2016-06-25,每周六 下午0140~0340,鳳山文化館201教室,優惠身份: 1100元     一般民眾: 1200元,"每堂課會說一本故事書，在引導孩子找出故事的主軸從自己生命出發，寫出想法，訓練表達能力",,http://college.kcg.gov.tw/class_info.asp?C_name=%a7@%a4%e5%afZ(%bb%f1%a4s)%a1i%b0%ea%a4p3~6%a6~%af%c5%a1j,http://college.kcg.gov.tw/class_file/1/2517/106-22-蕭愛慈-作文班-912.doc
kh_lc圍棋初學班(鳳山)【足5歲~15歲】2016-04-23,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022914,圍棋初學班(鳳山)【足5歲~15歲】,興趣才藝,蔡耀邦,2016-04-23,2016-06-25,每周六 晚上0520~0700,鳳山文化館202教室,優惠身份: 1100元     一般民眾: 1200元,"認識圍棋、基本運用、實作下棋。",,http://college.kcg.gov.tw/class_info.asp?C_name=%b3%f2%b4%d1%aa%ec%be%c7%afZ(%bb%f1%a4s)%a1i%a8%ac5%b7%b3~15%b7%b3%a1j,http://college.kcg.gov.tw/class_file/1/2516/107-22期-蔡耀邦-圍棋初學班(鳳山)-914.doc
kh_lc圍棋進階班(鳳山)2016-04-23,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022916,圍棋進階班(鳳山),興趣才藝,蔡耀邦,2016-04-23,2016-06-25,每周六 晚上0710~0900,鳳山文化館201教室,優惠身份: 1100元     一般民眾: 1200元,"認識圍棋、基本運用、實作下棋。",,http://college.kcg.gov.tw/class_info.asp?C_name=%b3%f2%b4%d1%b6i%b6%a5%afZ(%bb%f1%a4s),http://college.kcg.gov.tw/class_file/1/2623/29-22-蔡耀邦-圍棋進階班(鳳山)-916.doc
kh_lc立體繪畫本(鳳山)國小3年級以上)2016-04-24,高雄市,鳳山區,高雄市鳳山區青年路二段77號,獅甲會館,022918,立體繪畫本(鳳山)國小3年級以上),美術繪畫,杜清祥,2016-04-24,2016-06-26,每周日 早上0900~1100,鳳山文化館202教室,優惠身份: 1100元     一般民眾: 1200元,"當書本被施了魔法，翻開書頁時，裡頭的物件會動來動去，是不是很奇妙啊!我們在此，將與你(妳)創作出屬於自己的異想世界(故事)喔!",,http://college.kcg.gov.tw/class_info.asp?C_name=%a5%df%c5%e9%c3%b8%b5e%a5%bb(%bb%f1%a4s)%b0%ea%a4p3%a6~%af%c5%a5H%a4W),http://college.kcg.gov.tw/class_file/1/2624/109-22期-杜清祥-立體繪本書-918.doc
